MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 10
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL >  show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0026 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\clientes.csv'
                                                 -> INTO TABLE Clientes
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (nombre_cliente);
Query OK, 5000 rows affected (0.1332 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Clientes
                                                 -> ;
+------------+--------------------------+
| cliente_id | nombre_cliente           |
+------------+--------------------------+
|          1 | Aaron Barton             |
|          2 | Aaron Berg               |
|          3 | Aaron G James            |
|          4 | Aaron H Maldonado        |
|          5 | Aaron Harvey             |
|          6 | Aaron Morgan             |
|          7 | Aaron P Mcclain          |
|          8 | Aaron W Hopper           |
|          9 | Abdul Medrano            |
|         10 | Abe Clemens              |
|         11 | Abel Shanks              |
|         12 | Abraham C Jett           |
|         13 | Abraham L Swafford       |
|         14 | Abraham M Watt           |
|         15 | Abraham P Singleton      |
|         16 | Abram R Boisvert         |
|         17 | Adam Hines               |
|         18 | Adam K Gonzalez          |
|         19 | Adam Morrow              |
|         20 | Adam Palmer              |
|         21 | Adam Workman             |
|         22 | Adell K Mccain           |
|         23 | Adell Riggs              |
|         24 | Adena Bible              |
|         25 | Adolfo Brazil            |
|         26 | Adolfo Cassell           |
|         27 | Adolph Carranza          |
|         28 | Adolph X Kiser           |
|         29 | Adrian Edge              |
|         30 | Adrian Wells             |
|         31 | Adriana Block            |
|         32 | Adrien J Cary            |
|         33 | Adrien S Harness         |
|         34 | Agatha C Jewett          |
|         35 | Agatha N Trotter         |
|         36 | Agatha X Hirsch          |
|         37 | Agustin D Withers        |
|         38 | Ahmad L Tijerina         |
|         39 | Ai Rigsby                |
|         40 | Aide C Greiner           |
|         41 | Aisha Frank              |
|         42 | Aja E Reinhart           |
|         43 | Akiko E Diaz             |
|         44 | Alaina D Ison            |
|         45 | Alan E Odonnell          |
|         46 | Alan Morin               |
|         47 | Alan R Baldwin           |
|         48 | Alan W Wilder            |
|         49 | Alan X Oconnor           |
|         50 | Alan Y Rivera            |
|         51 | Alane U Kenney           |
|         52 | Alanna M Lim             |
|         53 | Alba O Traylor           |
|         54 | Albert Armstrong         |
|         55 | Albert M Schumacher      |
|         56 | Albert R Reid            |
|         57 | Albert S Bruce           |
|         58 | Albert V Rojas           |
|         59 | Albert X Jacobson        |
|         60 | Albertine D Crain        |
|         61 | Albertine Medrano        |
|         62 | Alberto R Rasmussen      |
|         63 | Alden C Durr             |
|         64 | Aldo N Swisher           |
