MySQL Shell 8.0.32

Copyright (c) 2016, 2023, Oracle and/or its affiliates.
Oracle is a registered trademark of Oracle Corporation and/or its affiliates.
Other names may be trademarks of their respective owners.

Type '\help' or '\?' for help; '\quit' to exit.
 MySQL  JS > \sql
Switching to SQL mode... Commands end with ;
 MySQL  SQL > \connect --mc root@localhost
Creating a Classic session to 'root@localhost'
Please provide the password for 'root@localhost': *************
Save password for 'root@localhost'? [Y]es/[N]o/Ne[v]er (default No): N
Fetching global names for auto-completion... Press ^C to stop.
Your MySQL connection id is 11
Server version: 8.0.32 MySQL Community Server - GPL
No default schema selected; type \use <schema> to set one.
 MySQL  localhost:3306 ssl  SQL > show databases;
+--------------------+
| Database           |
+--------------------+
| agencia            |
| ejemplo            |
| ejemplotdcs        |
| evaluacion_1       |
| information_schema |
| mysql              |
| ordenes_compra     |
| performance_schema |
| recursos_humanos   |
| sakila             |
| sys                |
| tarjetas_credito   |
| world              |
+--------------------+
13 rows in set (0.0018 sec)
 MySQL  localhost:3306 ssl  SQL > \use tarjetas_credito
Default schema set to `tarjetas_credito`.
Fetching global names, object names from `tarjetas_credito` for auto-completion... Press ^C to stop.
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > show tables;
+----------------------------+
| Tables_in_tarjetas_credito |
+----------------------------+
| bancos                     |
| clientes                   |
| tarjetas                   |
+----------------------------+
3 rows in set (0.0032 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM tarjetas;
Empty set (0.0050 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv'
                                                 -> INTO TABLE Tarjetas
                                                 -> FIELDS TERMINATED BY ','
                                                 -> ENCLOSED BY '"'
                                                 -> LINES TERMINATED BY '\r\n'
                                                 -> IGNORE 1 LINES
                                                 -> (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
ERROR: 1292 (22007): Incorrect datetime value: '01/02/2011' for column 'fecha_expedicion' at row 1
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > LOAD DATA INFILE 'C:\\ProgramData\\MySQL\\MySQL Server 8.0\\Uploads\\tarjetas.csv' INTO TABLE Tarjetas FIELDS TERMINATED BY ',' ENCLOSED BY '"' LINES TERMINATED BY '\r\n' IGNORE 1 LINES (numero_tarjeta,banco_id,tipo_tarjeta,cliente_id,cvv_cvv2,fecha_expedicion,fecha_vencimiento,dia_pago,pin_tarjeta,limite_credito);
Query OK, 5000 rows affected (0.2639 sec)

Records: 5000  Deleted: 0  Skipped: 0  Warnings: 0
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT COUNT(*)
                                                 -> FROM Tarjetas;
+----------+
| COUNT(*) |
+----------+
|     5000 |
+----------+
1 row in set (0.0153 sec)
 MySQL  localhost:3306 ssl  tarjetas_credito  SQL > SELECT *
                                                 -> FROM Tarjetas
                                                 -> LIMIT 1000;
+------------------+----------+---------------------------+------------+----------+---------------------+---------------------+----------+-------------+----------------+
| numero_tarjeta   | banco_id | tipo_tarjeta              | cliente_id | cvv_cvv2 | fecha_expedicion    | fecha_vencimiento   | dia_pago | pin_tarjeta | limite_credito |
+------------------+----------+---------------------------+------------+----------+---------------------+---------------------+----------+-------------+----------------+
| 30222770879439   |        1 | Diners Club International |          1 | 493      | 2011-02-01 00:00:00 | 2022-02-01 00:00:00 |        2 | 7681        |         109200 |
| 5121231357351050 |        2 | Master Card               |          2 | 269      | 2016-12-01 00:00:00 | 2027-12-01 00:00:00 |       10 | 775         |         143700 |
| 3543173281543020 |        3 | Japan Credit Bureau       |          3 | 536      | 2016-12-01 00:00:00 | 2029-12-01 00:00:00 |       20 | 5640        |         159300 |
| 36319501012563   |        1 | Diners Club International |          4 | 311      | 2008-03-01 00:00:00 | 2009-03-01 00:00:00 |       15 | 1554        |          36700 |
| 3543021817260220 |        3 | Japan Credit Bureau       |          5 | 501      | 2009-01-01 00:00:00 | 2018-01-01 00:00:00 |        2 | 5327        |         197400 |
| 5392150478741130 |        2 | Master Card               |          6 | 614      | 2011-11-01 00:00:00 | 2018-11-01 00:00:00 |       19 | 2206        |         179400 |
| 4377091843383870 |        4 | Visa                      |          7 | 273      | 2014-06-01 00:00:00 | 2023-06-01 00:00:00 |        8 | 1979        |         103700 |
| 30904127655501   |        1 | Diners Club International |          8 | 713      | 2008-03-01 00:00:00 | 2014-03-01 00:00:00 |       20 | 3965        |         134800 |
| 4372464811213360 |        5 | Visa                      |          9 | 352      | 2011-03-01 00:00:00 | 2024-03-01 00:00:00 |       15 | 5452        |          34000 |
| 39450153536133   |        1 | Diners Club International |         10 | 30       | 2008-10-01 00:00:00 | 2019-10-01 00:00:00 |       18 | 1725        |          24900 |
| 6011366119214940 |        6 | Discover                  |         11 | 433      | 2009-08-01 00:00:00 | 2013-08-01 00:00:00 |       24 | 4400        |         113400 |
| 5410566900736700 |        7 | Master Card               |         12 | 416      | 2014-07-01 00:00:00 | 2016-07-01 00:00:00 |        8 | 7486        |         189400 |
| 30065301985781   |        1 | Diners Club International |         13 | 94       | 2014-06-01 00:00:00 | 2033-06-01 00:00:00 |        3 | 5815        |          74400 |
| 5486260902456960 |        2 | Master Card               |         14 | 978      | 2007-08-01 00:00:00 | 2024-08-01 00:00:00 |       15 | 1178        |         142100 |
| 377183828354448  |        8 | American Express          |         15 | 7337     | 2008-09-01 00:00:00 | 2010-09-01 00:00:00 |       26 | 9851        |          90200 |
| 3547584506299910 |        3 | Japan Credit Bureau       |         16 | 552      | 2010-10-01 00:00:00 | 2015-10-01 00:00:00 |       23 | 5445        |          90000 |
| 5245362818436950 |        7 | Master Card               |         17 | 924      | 2017-01-01 00:00:00 | 2025-01-01 00:00:00 |       13 | 8170        |         125300 |
| 30205217319689   |        1 | Diners Club International |         18 | 777      | 2016-11-01 00:00:00 | 2035-11-01 00:00:00 |       27 | 4905        |         120300 |
| 6011275780750530 |        6 | Discover                  |         19 | 230      | 2017-02-01 00:00:00 | 2033-02-01 00:00:00 |       22 | 5368        |          82100 |
| 6550772830134390 |        6 | Discover                  |         20 | 154      | 2016-06-01 00:00:00 | 2034-06-01 00:00:00 |       15 | 3792        |          74800 |
| 6011590555271230 |        6 | Discover                  |         21 | 978      | 2009-08-01 00:00:00 | 2015-08-01 00:00:00 |       11 | 8815        |          53200 |
| 5362759749663110 |        9 | Master Card               |         22 | 226      | 2007-10-01 00:00:00 | 2027-10-01 00:00:00 |        3 | 3227        |         106400 |
